Species,Species taxid,16S gene count
Candidatus Arthromitus sp. SFB-rat-Yit,1041504,5.0
Candidatus Atelocyanobacterium thalassa,713887,2.0
Candidatus Azobacteroides pseudotrichonymphae,511435,2.0
Candidatus Babela massiliensis,673862,1.0
Candidatus Baumannia cicadellinicola,186490,2.0
Candidatus Bipolaricaulis anaerobius,2026885,1.0
Candidatus Blochmannia chromaiodes,251542,1.0
Candidatus Blochmannia floridanus,203907,1.0
Candidatus Blochmannia pennsylvanicus,101534,1.0
Candidatus Blochmannia vafer,251535,1.0
Candidatus Cardinium hertigii,247481,1.0
Candidatus Carsonella ruddii,114186,1.0
Candidatus Cloacimonas acidaminovorans,456827,2.0
Candidatus Dependentiae bacterium (ex Spumella elongata CCAP 955/1),2066483,2.0
Candidatus Desulforudis audaxviator,471827,2.0
Candidatus Desulfovibrio trichonymphae,1725232,2.0
Candidatus Doolittlea endobia,1778262,1.0
Candidatus Endolissoclinum faulkneri,1263979,1.0
Candidatus Endomicrobium trichonymphae,1408204,1.0
Candidatus Erwinia sp. ErCipseudotaxifoliae,1922217,1.0
Candidatus Evansia muelleri,1495769,1.0
Candidatus Filomicrobium marinum,1608628,1.0
Candidatus Fokinia solitaria,1802984,1.0
Candidatus Fonsibacter ubiquis,1925548,1.0
Candidatus Gullanella endobia,1070130,1.0
Candidatus Hamiltonella defensa,138072,3.0
Candidatus Hoaglandella endobia,1778263,1.0
Candidatus Ishikawaella capsulata,168169,3.0
Candidatus Izimaplasma sp. HR1,1541959,1.0
Candidatus Kinetoplastibacterium blastocrithidii,233181,3.0
Candidatus Kinetoplastibacterium crithidii,33056,3.0
Candidatus Kinetoplastibacterium desouzaii,994692,3.0
Candidatus Kinetoplastibacterium galatii,994695,3.0
Candidatus Kinetoplastibacterium oncopeltii,994696,3.0
Candidatus Kinetoplastibacterium sorsogonicusi,1576550,3.0
Candidatus Korarchaeum cryptofilum,498846,1.0
Candidatus Koribacter versatilis,658062,1.0
Candidatus Kuenenia stuttgartiensis,174633,1.0
Candidatus Liberibacter africanus,34020,3.0
Candidatus Liberibacter americanus,309868,3.0
Candidatus Liberibacter asiaticus,34021,3.0
Candidatus Liberibacter solanacearum,556287,3.0
Candidatus Methanomassiliicoccus intestinalis,1406512,1.0
Candidatus Methanomethylophilus alvus,1291540,1.0
Candidatus Methanoplasma termitum,1577791,1.0
Candidatus Methylopumilus planktonicus,1581557,1.0
Candidatus Methylopumilus turicensis,1581680,2.0
Candidatus Micrarchaeota archaeon Mia14,1920749,1.0
Candidatus Midichloria mitochondrii,234827,1.0
Candidatus Mikella endobia,1778264,1.0
Candidatus Moranella endobia,1048758,1.0
Candidatus Mycoplasma haemolamae,141391,1.0
Candidatus Nanopelagicus abundans,1884916,1.0
Candidatus Nanopelagicus hibericus,1884915,1.0
Candidatus Nanopelagicus limnes,1884634,1.0
Candidatus Nasuia deltocephalinicola,1160784,1.0
Candidatus Nitrosocaldus cavascurensis,2058097,1.0
Candidatus Nitrosocaldus islandicus,2045011,1.0
Candidatus Nitrosocosmicus exaquare,1826872,2.0
Candidatus Nitrosoglobus terrae,1630141,2.0
Candidatus Nitrosomarinus catalina,1898749,1.0
Candidatus Nitrosopelagicus brevis,1410606,1.0
Candidatus Nitrosopumilus adriaticus,1580092,1.0
Candidatus Nitrosopumilus sediminis,1229909,1.0
Candidatus Nitrosotalea devanaterra,1078905,1.0
Candidatus Nitrosotenuis aquarius,1846278,1.0
Candidatus Nitrosotenuis cloacae,1603555,1.0
Candidatus Nitrospira inopinata,1715989,1.0
Candidatus Nucleicultrix amoebiphila,1509244,2.0
Candidatus Pantoea carbekii,1235990,3.0
Candidatus Paracaedibacter acanthamoebae,91604,2.0
Candidatus Pelagibacter sp. IMCC9063,1002672,1.0
Candidatus Pelagibacter ubique,198252,1.0
Candidatus Phycorickettsia trachydisci,2115978,1.0
Candidatus Phytoplasma australiense,59748,2.0
Candidatus Phytoplasma mali,37692,2.0
Candidatus Planktophila dulcis,1884914,1.0
Candidatus Planktophila lacus,1884913,1.0
Candidatus Planktophila limnetica,573600,1.0
Candidatus Planktophila sulfonica,1884904,1.0
Candidatus Planktophila vernalis,1884907,1.0
Candidatus Planktophila versatilis,1884905,1.0
Candidatus Portiera aleyrodidarum,91844,1.0
Candidatus Profftella armatura,669502,1.0
Candidatus Promineofilum breve,1806508,1.0
Candidatus Protochlamydia naegleriophila,389348,4.0
Candidatus Puniceispirillum marinum,767892,1.0
Candidatus Purcelliella pentastirinorum,472834,1.0
Candidatus Rhodoluna planktonica,535712,1.0
Candidatus Riesia pediculicola,401619,2.0
Candidatus Riesia sp. GBBU,1719125,2.0
Candidatus Ruthia magnifica,386487,1.0
Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20,2056494,1.0
Candidatus Saccharibacteria oral taxon TM7x,1476577,1.0
Candidatus Sodalis pierantonius,1486991,5.0
Candidatus Solibacter usitatus,332163,2.0
Candidatus Sulcia muelleri,336810,1.0
Candidatus Symbiobacter mobilis,1436290,2.0
Candidatus Tachikawaea gelatinosa,1410383,3.0
Candidatus Thiodictyon syntrophicum,1166950,2.0
Candidatus Thioglobus autotrophicus,1705394,1.0
Candidatus Thioglobus singularis,1427364,1.0
Candidatus Tremblaya princeps,189385,2.0
Candidatus Vidania fulgoroideae,881286,1.0
Candidatus Walczuchella monophlebidarum,1415657,1.0
Candidatus Xiphinematobacter sp. Idaho Grape,1704307,1.0
Capnocytophaga canimorsus,28188,3.0
Capnocytophaga cynodegmi,28189,3.0
Capnocytophaga gingivalis,1017,3.0
Capnocytophaga haemolytica,45243,4.0
Capnocytophaga leadbetteri,327575,4.0
Capnocytophaga ochracea,1018,4.0
Capnocytophaga sp. ChDC OS43,209053,4.0
Capnocytophaga sp. H2931,1945657,3.0
Capnocytophaga sp. H4358,1945658,3.0
Capnocytophaga sp. oral taxon 323,1705617,4.0
Capnocytophaga sp. oral taxon 864,1316593,4.0
Capnocytophaga sp. oral taxon 878,1316596,4.0
Capnocytophaga sputigena,1019,4.0
Capnocytophaga stomatis,1848904,3.0
Carboxydocella thermautotrophica,178899,5.0
Carboxydothermus hydrogenoformans,129958,4.0
Cardinium endosymbiont of Encarsia pergandiella,249402,1.0
Cardinium endosymbiont of Sogatella furcifera,650378,1.0
Carnobacterium inhibens,147709,8.0
Carnobacterium maltaromaticum,2751,6.0
Carnobacterium sp. 17-4,208596,8.0
Carnobacterium sp. CP1,1564681,8.0
Castellaniella defragrans,75697,2.0
Catenovulum sp. CCB-QB4,2172099,7.0
Catenulispora acidiphila,304895,3.0
Caulobacter henricii,69395,2.0
Caulobacter mirabilis,69666,2.0
Caulobacter segnis,88688,2.0
Caulobacter sp. K31,366602,2.0
Caulobacter vibrioides,155892,2.0
Caulobacteraceae bacterium OTSz_A_272,1759059,1.0
Cedecea neteri,158822,7.0
Celeribacter ethanolicus,1758178,3.0
Celeribacter indicus,1208324,2.0
Celeribacter manganoxidans,1411902,2.0
Celeribacter marinus,1397108,2.0
Cellulomonas fimi,1708,2.0
Cellulomonas flavigena,1711,2.0
Cellulomonas gilvus,11,2.0
Cellulomonas sp. PSBB021,2003551,2.0
Cellulophaga algicola,59600,5.0
Cellulophaga baltica,76594,4.0
Cellulophaga lytica,979,4.0
Cellulosilyticum lentocellum,29360,11.0
Cellulosimicrobium cellulans,1710,3.0
Cellulosimicrobium sp. TH-20,1980001,3.0
Cellvibrio japonicus,155077,3.0
Cellvibrio sp. PSBB006,1987723,2.0
Cellvibrio sp. PSBB023,1945512,5.0
Chania multitudinisentens,1639108,7.0
Chelativorans sp. BNC1,266779,2.0
Chelatococcus daeguensis,444444,2.0
Chelatococcus sp. CO-6,1702325,2.0
Chitinophaga caeni,2029983,4.0
Chitinophaga pinensis,79329,6.0
Chlamydia abortus,83555,1.0
Chlamydia avium,1457141,1.0
Chlamydia caviae,83557,1.0
Chlamydia felis,83556,1.0
Chlamydia gallinacea,1457153,1.0
Chlamydia muridarum,83560,2.0
Chlamydia pecorum,85991,1.0
Chlamydia pneumoniae,83558,1.0
Chlamydia psittaci,83554,1.0
Chlamydia sp. H15-1957-10C,1967782,1.0
Chlamydia sp. S15-834C,1967783,1.0
Chlamydia suis,83559,2.0
Chlamydia trachomatis,813,2.0
Chloracidobacterium thermophilum,458033,1.0
Chlorobaculum limnaeum,274537,2.0
Chlorobaculum parvum,274539,2.0
Chlorobaculum tepidum,1097,2.0
Chlorobium chlorochromatii,337090,1.0
Chlorobium limicola,1092,2.0
Chlorobium phaeobacteroides,1096,2.0
Chlorobium phaeovibrioides,1094,1.0
Chloroflexus aggregans,152260,3.0
Chloroflexus aurantiacus,1108,3.0
Chloroherpeton thalassium,100716,1.0
Chondrocystis sp. NIES-4102,2005460,3.0
Chondromyces crocatus,52,3.0
Christensenella massiliensis,1805714,3.0
Chromatiaceae bacterium 2141T.STBD.0c.01a,1978339,1.0
Chromobacterium rhizoryzae,1778675,8.0
Chromobacterium sp. ATCC 53434,2059672,8.0
Chromobacterium sp. IIBBL 112-1,2202141,8.0
Chromobacterium sp. IIBBL 274-1,2202142,8.0
Chromobacterium vaccinii,1108595,8.0
Chromobacterium violaceum,536,8.0
Chromohalobacter salexigens,158080,5.0
Chroococcidiopsis thermalis,54299,3.0
Chryseobacterium camelliae,1265445,4.0
Chryseobacterium gallinarum,1324352,6.0
Chryseobacterium glaciei,1685010,7.0
Chryseobacterium indologenes,253,6.0
Chryseobacterium piperi,558152,5.0
Chryseobacterium sp. IHB B 17019,1721091,6.0
Chryseobacterium sp. StRB126,878220,6.0
Chryseobacterium sp. T16E-39,2015076,5.0
Chryseobacterium taklimakanense,536441,2.0
Chthoniobacter flavus,191863,1.0
Citrobacter amalonaticus,35703,7.0
Citrobacter braakii,57706,8.0
Citrobacter farmeri,67824,7.0
Citrobacter freundii,546,8.0
Citrobacter freundii complex sp. CFNIH2,2066049,7.0
Citrobacter freundii complex sp. CFNIH3,2077147,8.0
Citrobacter freundii complex sp. CFNIH4,2077148,8.0
Citrobacter freundii complex sp. CFNIH9,2077149,8.0
Citrobacter koseri,545,7.0
Citrobacter rodentium,67825,7.0
Citrobacter sp. 86,2013114,7.0
Citrobacter sp. 92,2019568,7.0
Citrobacter sp. CFNIH10,1920110,7.0
Citrobacter sp. CRE-46,1703250,8.0
Citrobacter sp. FDAARGOS_156,1702170,8.0
Citrobacter werkmanii,67827,8.0
Citrobacter youngae,133448,8.0
Citromicrobium sp. JL477,1634516,1.0
Clavibacter michiganensis,28447,2.0
Cloacibacillus porcorum,1197717,5.0
Clostridiaceae bacterium 14S0207,2082193,11.0
Clostridioides difficile,1496,12.0
Clostridium aceticum,84022,6.0
Clostridium acetobutylicum,1488,11.0
Clostridium argentinense,29341,10.0
Clostridium autoethanogenum,84023,9.0
Clostridium baratii,1561,10.0
Clostridium beijerinckii,1520,14.0
Clostridium bornimense,1216932,8.0
Clostridium botulinum,1491,9.0
Clostridium butyricum,1492,10.0
Clostridium carboxidivorans,217159,7.0
Clostridium cellulovorans,1493,9.0
Clostridium chauvoei,46867,9.0
Clostridium cochlearium,1494,7.0
Clostridium drakei,332101,10.0
Clostridium estertheticum,238834,16.0
Clostridium formicaceticum,1497,11.0
Clostridium kluyveri,1534,7.0
Clostridium ljungdahlii,1538,9.0
Clostridium novyi,1542,10.0
Clostridium pasteurianum,1501,10.0
Clostridium perfringens,1502,10.0
Clostridium saccharobutylicum,169679,12.0
Clostridium saccharoperbutylacetonicum,36745,11.0
Clostridium scatologenes,1548,9.0
Clostridium sp. BNL1100,755731,8.0
Clostridium sp. SY8519,1042156,4.0
Clostridium sporogenes,1509,9.0
Clostridium taeniosporum,394958,7.0
Clostridium tetani,1513,5.0
Clostridium tyrobutyricum,1519,6.0
Cnuibacter physcomitrellae,1619308,2.0
Cobetia marina,28258,7.0
Collimonas arenae,279058,3.0
Collimonas fungivorans,158899,3.0
Collimonas pratensis,279113,3.0
Collinsella aerofaciens,74426,5.0
Colwellia beringensis,1967665,6.0
Colwellia psychrerythraea,28229,9.0
Colwellia sp. Arc7-D,2161872,6.0
Colwellia sp. MT41,58049,9.0
Colwellia sp. PAMC 20917,1816218,6.0
Colwellia sp. PAMC 21821,1816219,6.0
Comamonadaceae bacterium A1,1458425,2.0
Comamonadaceae bacterium B1,1458426,2.0
Comamonas kerstersii,225992,5.0
Comamonas serinivorans,1082851,4.0
Comamonas testosteroni,285,3.0
Conexibacter woesei,191495,1.0
Confluentimicrobium sp. EMB200-NS6,1609966,2.0
Coprothermobacter proteolyticus,35786,2.0
Coraliomargarita akajimensis,395922,2.0
Corallococcus coralloides,184914,3.0
Coriobacteriaceae bacterium 68-1-3,1531429,2.0
Coriobacterium glomerans,33871,2.0
Corynebacterium ammoniagenes,1697,4.0
Corynebacterium aquilae,203263,4.0
Corynebacterium argentoratense,42817,4.0
Corynebacterium atypicum,191610,4.0
Corynebacterium aurimucosum,169292,3.0
Corynebacterium callunae,1721,7.0
Corynebacterium camporealensis,161896,4.0
Corynebacterium casei,160386,4.0
Corynebacterium crudilactis,1652495,6.0
Corynebacterium cystitidis,35757,4.0
Corynebacterium deserti,1408191,6.0
Corynebacterium diphtheriae,1717,5.0
Corynebacterium doosanense,1121358,4.0
Corynebacterium efficiens,152794,5.0
Corynebacterium epidermidicanis,1050174,4.0
Corynebacterium falsenii,108486,3.0
Corynebacterium flavescens,28028,5.0
Corynebacterium frankenforstense,1230998,4.0
Corynebacterium glaucum,187491,4.0
Corynebacterium glutamicum,1718,6.0
Corynebacterium glyciniphilum,1404244,4.0
Corynebacterium halotolerans,225326,4.0
Corynebacterium humireducens,1223514,4.0
Corynebacterium imitans,156978,4.0
Corynebacterium jeikeium,38289,3.0
Corynebacterium kroppenstedtii,161879,3.0
Corynebacterium kutscheri,35755,4.0
Corynebacterium lactis,1231000,3.0
Corynebacterium marinum,349751,4.0
Corynebacterium maris,575200,4.0
Corynebacterium minutissimum,38301,4.0
Corynebacterium mustelae,571915,4.0
Corynebacterium phocae,161895,4.0
Corynebacterium provencense,1737425,6.0
Corynebacterium pseudotuberculosis,1719,4.0
Corynebacterium renale,1724,4.0
Corynebacterium resistens,258224,3.0
Corynebacterium simulans,146827,4.0
Corynebacterium singulare,161899,4.0
Corynebacterium sp. 2183,2080740,4.0
Corynebacterium sp. 2184,2079535,4.0
Corynebacterium sp. ATCC 6931,1487956,5.0
Corynebacterium sp. NML98-0116,702967,4.0
Corynebacterium sphenisci,191493,3.0
Corynebacterium stationis,1705,5.0
Corynebacterium striatum,43770,4.0
Corynebacterium terpenotabidum,89154,5.0
Corynebacterium testudinoris,136857,4.0
Corynebacterium ulcerans,65058,4.0
Corynebacterium urealyticum,43771,3.0
Corynebacterium ureicelerivorans,401472,4.0
Corynebacterium uterequi,1072256,5.0
Corynebacterium variabile,1727,6.0
Corynebacterium vitaeruminis,38305,5.0
Coxiella burnetii,777,1.0
Coxiella endosymbiont of Amblyomma americanum,325775,1.0
Coxiella-like endosymbiont,1592897,1.0
Crinalium epipsammum,241425,4.0
Croceibacter atlanticus,313588,2.0
Croceicoccus marinus,450378,2.0
Croceicoccus naphthovorans,1348774,1.0
Cronobacter condimenti,1163710,7.0
Cronobacter dublinensis,413497,7.0
Cronobacter malonaticus,413503,7.0
Cronobacter muytjensii,413501,7.0
Cronobacter sakazakii,28141,7.0
Cronobacter turicensis,413502,7.0
Cronobacter universalis,535744,7.0
Cryobacterium arcticum,670052,3.0
Cryobacterium sp. LW097,1978566,3.0
Cryptobacterium curtum,84163,3.0
Cuniculiplasma divulgatum,1673428,1.0
Cupriavidus basilensis,68895,7.0
Cupriavidus gilardii,82541,4.0
Cupriavidus metallidurans,119219,4.0
Cupriavidus necator,106590,5.0
Cupriavidus pinatubonensis,248026,6.0
Cupriavidus sp. NH9,2036817,5.0
Cupriavidus sp. USMAA1020,367825,7.0
Cupriavidus sp. USMAA2-4,876364,7.0
Cupriavidus sp. USMAHM13,1389192,7.0
Curtobacterium pusillum,69373,3.0
Curtobacterium sp. BH-2-1-1,1905847,3.0
Curtobacterium sp. MR_MD2014,1561023,4.0
Cutibacterium acnes,1747,3.0
Cutibacterium avidum,33010,3.0
Cutibacterium granulosum,33011,2.0
Cyanobacterium aponinum,379064,3.0
Cyanobium gracile,59930,2.0
Cyanobium sp. NIES-981,1851505,3.0
Cyanospira capsulata,946381,4.0
Cyanospira rippkae,165799,4.0
Cyanothece sp. ATCC 51142,43989,2.0
Cyanothece sp. PCC 7424,65393,3.0
Cyanothece sp. PCC 7425,395961,2.0
Cyanothece sp. PCC 7822,497965,3.0
Cyanothece sp. PCC 8801,41431,2.0
Cyanothece sp. PCC 8802,395962,2.0
Cyclobacterium amurskyense,320787,4.0
Cyclobacterium marinum,104,3.0
Cycloclasticus sp. P1,385025,1.0
Cycloclasticus sp. PY97N,728003,2.0
Cycloclasticus zancles,1329899,1.0
Cystobacter fuscus,43,4.0
Cytophaga hutchinsonii,985,3.0
Dactylococcopsis salina,292566,3.0
Dechloromonas aromatica,259537,4.0
Dechloromonas sp. HYN0024,2231055,3.0
Deferribacter desulfuricans,197162,2.0
Defluviimonas alba,1335048,2.0
Defluviitoga tunisiensis,1006576,3.0
Dehalobacter restrictus,55583,4.0
Dehalobacter sp. CF,1131462,3.0
Dehalobacter sp. DCA,1147129,3.0
Dehalobacterium formicoaceticum,51515,5.0
Dehalococcoides mccartyi,61435,1.0
Dehalococcoides sp. UCH007,1522671,1.0
Dehalogenimonas formicexedens,1839801,1.0
Dehalogenimonas lykanthroporepellens,552810,1.0
Deinococcus actinosclerus,1768108,3.5
Deinococcus deserti,310783,4.0
Deinococcus ficus,317577,3.0
Deinococcus geothermalis,68909,4.0
Deinococcus gobiensis,502394,5.0
Deinococcus irradiatisoli,2202254,3.0
Deinococcus maricopensis,309887,4.0
Deinococcus peraridilitoris,432329,4.0
Deinococcus proteolyticus,55148,3.0
Deinococcus puniceus,1182568,3.0
Deinococcus radiodurans,1299,3.0
Deinococcus soli Cha et al. 2016,1309411,3.0
Deinococcus sp. NW-56,2080419,3.0
Deinococcus swuensis,1182571,3.0
Deinococcus wulumuqiensis,980427,3.0
Delftia acidovorans,80866,5.0
Delftia sp. Cs1-4,742013,5.0
Delftia sp. HK171,1920191,5.0
Delftia tsuruhatensis,180282,5.0
Denitrobacterium detoxificans,79604,3.0
Denitrovibrio acetiphilus,118000,2.0
Dermabacter vaginalis,1630135,3.0
Dermacoccus nishinomiyaensis,1274,3.0
Dermatophilus congolensis,1863,3.0
Desulfallas gibsoniae,102134,8.0
Desulfarculus baarsii,453230,1.0
Desulfatibacillum alkenivorans,259354,2.0
Desulfitobacterium dehalogenans,36854,6.0
Desulfitobacterium dichloroeliminans,233055,6.0
Desulfitobacterium hafniense,49338,5.5
Desulfitobacterium metallireducens,142877,8.0
Desulfobacca acetoxidans,60893,1.0
Desulfobacterium autotrophicum,2296,6.0
Desulfobacula toluolica,28223,4.0
Desulfobulbus sp. ORNL,1986146,2.0
Desulfocapsa sulfexigens,65555,3.0
Desulfococcus multivorans,897,3.0
Desulfococcus oleovorans,181663,1.0
Desulfofarcimen acetoxidans,58138,10.0
Desulfohalobium retbaense,45663,2.0
Desulfomicrobium baculatum,899,2.0
Desulfomicrobium orale,132132,2.0
Desulfomonile tiedjei,2358,1.0
Desulfosporosinus acidiphilus,885581,9.0
Desulfosporosinus meridiei,79209,11.0
Desulfosporosinus orientis,1563,8.0
Desulfotalea psychrophila,84980,7.0
Desulfotomaculum ferrireducens,1833852,9.0
Desulfotomaculum nigrificans,1565,8.0
Desulfotomaculum reducens,59610,8.0
Desulfotomaculum ruminis,1564,5.0
Desulfovibrio africanus,873,3.0
Desulfovibrio alaskensis,58180,4.0
Desulfovibrio desulfuricans,876,2.5
Desulfovibrio fairfieldensis,44742,3.0
Desulfovibrio magneticus,184917,3.0
Desulfovibrio piger,901,7.0
Desulfovibrio salexigens,880,5.0
Desulfovibrio sp. G11,631220,3.0
Desulfovibrio vulgaris,881,5.0
Desulfurella acetivorans,33002,2.0
Desulfurella multipotens,79269,
Desulfurispirillum indicum,936456,3.0
Desulfurivibrio alkaliphilus,427923,2.0
Desulfurobacterium thermolithotrophum,64160,2.0
Desulfurococcus amylolyticus,94694,1.0
Desulfurococcus mucosus,2275,1.0
Desulfuromonas soudanensis,1603606,2.0
Desulfuromonas sp. DDH964,1823759,2.0
Devosia sp. A16,1736675,2.0
Devosia sp. H5989,1643450,2.0
Devosia sp. I507,2083786,2.0
Devriesea agamarum,472569,2.0
Dialister pneumosintes,39950,5.0
Dialister sp. Marseille-P5638,2161821,5.0
Diaphorobacter polyhydroxybutyrativorans,1546149,3.0
Dichelobacter nodosus,870,3.0
Dickeya dadantii,204038,7.0
Dickeya dianthicola,204039,7.0
Dickeya fangzhongdai,1778540,7.0
Dickeya solani,1089444,7.0
Dickeya sp. Secpp 1600,2037915,7.0
Dickeya zeae,204042,7.0
Dictyoglomus thermophilum,14,2.0
Dictyoglomus turgidum,513050,2.0
Dietzia lutea,546160,4.0
Dietzia psychralcaliphila,139021,3.0
Dietzia sp. JS16-p6b,2052657,2.0
Dietzia sp. oral taxon 368,712270,4.0
Dietzia timorensis,499555,2.0
Dinoroseobacter shibae,215813,2.0
Dokdonella koreensis,323415,2.0
Dokdonia donghaensis,326320,3.0
Dokdonia sp. 4H-3-7-5,983548,3.0
Dokdonia sp. Dokd-P16,2173169,3.0
Dokdonia sp. MED134,313590,3.0
Dolichospermum flos-aquae,1166,5.0
Draconibacterium orientale,1168034,2.0
Dyadobacter fermentans,94254,4.0
Dyella japonica,231455,2.0
Dyella jiangningensis,1379159,2.0
Dyella thiooxydans,445710,2.0
Echinicola strongylocentroti,1795355,4.0
Echinicola vietnamensis,390884,4.0
Ectothiorhodospira sp. BSL-9,1442136,2.0
Edwardsiella anguillarum,1821960,7.0
Edwardsiella hoshinae,93378,9.0
Edwardsiella ictaluri,67780,8.0
Edwardsiella piscicida,1263550,9.0
Edwardsiella sp. EA181011,1578828,8.0
Edwardsiella sp. LADL05-105,1650654,9.0
Edwardsiella tarda,636,8.0
Eggerthella lenta,84112,3.0
Eggerthella sp. YY7918,502558,2.0
Ehrlichia canis,944,1.0
Ehrlichia chaffeensis,945,1.0
Ehrlichia muris,35795,1.0
Ehrlichia ruminantium,779,1.0
Ehrlichia sp. HF,391036,1.0
Eikenella corrodens,539,4.0
Elizabethkingia anophelis,1117645,5.0
Elizabethkingia bruuniana,1756149,5.0
Elizabethkingia meningoseptica,238,4.0
Elizabethkingia miricola,172045,5.0
Elizabethkingia ursingii,1756150,5.0
Elusimicrobium minutum,423605,1.0
Endomicrobium proavitum,1408281,1.0
Ensifer adhaerens,106592,5.0
Ensifer sojae,716925,3.0
Enterobacter asburiae,61645,8.0
Enterobacter bugandensis,881260,8.0
Enterobacter cancerogenus,69218,8.0
Enterobacter cloacae,550,8.0
Enterobacter cloacae complex sp.,2027919,8.0
Enterobacter cloacae complex sp. ECNIH7,1915310,8.0
Enterobacter cloacae complex sp. FDA-CDC-AR_0132,2077137,8.0
Enterobacter cloacae complex sp. FDA-CDC-AR_0164,2077136,8.0
Enterobacter hormaechei,158836,8.0
Enterobacter kobei,208224,8.0
Enterobacter ludwigii,299767,9.0
Enterobacter roggenkampii,1812935,8.0
Enterobacter sp. 638,399742,7.0
Enterobacter sp. CRENT-193,2051905,8.0
Enterobacter sp. Crenshaw,1977566,8.0
Enterobacter sp. E20,1560339,8.0
Enterobacter sp. EA-1,2057026,7.0
Enterobacter sp. FY-07,1692238,7.0
Enterobacter sp. HK169,1868135,8.0
Enterobacter sp. ODB01,1827481,8.0
Enterobacter sp. R4-368,1166130,10.0
Enterobacter sp. SA187,1914861,7.0
Enterobacteriaceae bacterium ENNIH1,2066051,7.0
Enterobacteriaceae bacterium ENNIH2,1920109,7.0
Enterobacteriaceae bacterium ENNIH3,1920128,7.0
Enterobacteriaceae bacterium S05,2052938,8.0
Enterobacteriaceae bacterium bta3-1,1265478,7.0
Enterobacteriaceae bacterium strain FGI 57,693444,9.0
Enterobacteriaceae bacterium w17,2282309,8.0
Enterobacteriaceae bacterium w6,2282310,8.0
Enterococcus casseliflavus,37734,5.0
Enterococcus cecorum,44008,7.0
Enterococcus durans,53345,6.0
Enterococcus faecalis,1351,4.0
Enterococcus faecium,1352,6.0
Enterococcus gilvus,160453,6.0
Enterococcus hirae,1354,6.0
Enterococcus mundtii,53346,6.0
Enterococcus sp. CR-Ec1,2057791,5.0
Enterococcus sp. FDAARGOS_163,2060306,5.0
Enterococcus sp. FDAARGOS_375,2060307,5.0
Enterococcus thailandicus,417368,6.0
Enterococcus wangshanyuanii,2005703,4.0
Entomoplasma freundtii,74700,2.0
Entomoplasma luminosum,214888,1.0
Entomoplasma melaleucae,81459,2.0
Entomoplasma somnilux,215578,1.0
Epibacterium mobile,379347,4.0
Erwinia amylovora,552,7.0
Erwinia billingiae,182337,7.0
Erwinia gerundensis,1619313,7.0
Erwinia persicina,55211,7.0
Erwinia pyrifoliae,79967,7.0
Erwinia sp. Ejp617,215689,7.0
Erwinia tasmaniensis,338565,7.0
Erysipelothrix larvae,1514105,4.0
Erysipelothrix rhusiopathiae,1648,5.0
Erysipelotrichaceae bacterium I46,1834207,5.0
Erythrobacter atlanticus,1648404,1.0
Erythrobacter flavus,192812,2.0
Erythrobacter gangjinensis,502682,1.0
Erythrobacter litoralis,39960,1.0
Erythrobacter seohaensis,266951,1.0
Erythrobacter sp. Alg231-14,1922225,1.0
Erythrobacter sp. KY5,2011159,1.0
Erythrobacter sp. YH-07,2182384,2.0
Escherichia albertii,208962,7.0
Escherichia coli,562,7.0
Escherichia fergusonii,564,7.0
Escherichia marmotae,1499973,7.0
Ethanoligenens harbinense,253239,3.0
Eubacterium limosum,1736,5.0
Euzebya sp. DY32-46,1608957,2.0
Exiguobacterium antarcticum,132920,9.0
Exiguobacterium sibiricum,332410,9.0
Exiguobacterium sp. AT1b,360911,9.0
Exiguobacterium sp. MH3,1399115,9.0
Exiguobacterium sp. U13-1,1849031,9.0
Exiguobacterium sp. ZWU0009,1224749,10.0
Ezakiella massiliensis,1852374,2.0
Faecalibacterium prausnitzii,853,6.0
Faecalibaculum rodentium,1702221,14.0
Fastidiosipila sanguinis,236753,2.0
Fermentimonas caenicola,1562970,2.0
Ferrimonas balearica,44012,7.0
Ferroglobus placidus,54261,1.0
Ferroplasma acidarmanus,97393,1.0
Ferroplasma acidiphilum,74969,1.0
Fervidobacterium islandicum,2423,2.0
Fervidobacterium nodosum,2424,2.0
Fervidobacterium pennivorans,93466,2.0
Fibrella sp. ES10-3-2-2,1834519,3.0
Fibrobacter succinogenes,833,3.0
Fictibacillus arsenicus,255247,7.0
Fictibacillus phosphorivorans,1221500,7.0
Filifactor alocis,143361,4.0
Filimonas lacunae,477680,5.0
Fimbriimonas ginsengisoli,1005039,2.0
Finegoldia magna,1260,4.0
Fischerella sp. NIES-3754,1752063,4.0
Flagellimonas sp. HME9304,1383885,2.0
Flammeovirga sp. MY04,1191459,8.0
Flammeovirgaceae bacterium 311,1257021,5.0
Flavisolibacter tropicus,1492898,3.0
Flavivirga eckloniae,1803846,2.0
Flavobacteriaceae bacterium,1871037,2.0
Flavobacteriaceae bacterium 3519-10,531844,2.0
Flavobacteriaceae bacterium UJ101,1150389,3.0
Flavobacterium arcticum,1784713,3.0
Flavobacterium branchiophilum,55197,3.0
Flavobacterium columnare,996,6.0
Flavobacterium commune,1306519,5.0
Flavobacterium crassostreae,1763534,7.0
Flavobacterium faecale,1355330,6.0
Flavobacterium gilvum,1492737,5.0
Flavobacterium indicum,312277,4.0
Flavobacterium johnsoniae,986,5.5
Flavobacterium psychrophilum,96345,6.0
Flavobacterium sp. AJ004,1981981,6.0
